CHROM,sw_Str,834927.AvgLD,834931.AvgLD,sSNP,toatalSNP,sSNP/totalSNP,smthedRatio
2,1,58,62,1,227,0.004405286343612335,0.0025746668810172576
2,10001,58,62,1,225,0.0044444444444444444,0.0038631835224815026
2,20001,57,62,1,219,0.0045662100456621,0.005047897223378713
2,30001,58,62,1,216,0.004629629629629629,0.006132965914921748
2,40001,59,65,1,228,0.0043859649122807015,0.00712254752832347
2,50001,59,65,1,228,0.0043859649122807015,0.008020799994796737
2,60001,59,65,1,224,0.004464285714285714,0.008831881245554412
2,70001,60,66,3,229,0.013100436681222707,0.009559949211809353
2,80001,60,66,3,232,0.01293103448275862,0.01020916182477442
2,90001,60,66,3,231,0.012987012987012988,0.010783677015662477
2,100001,60,66,3,227,0.013215859030837005,0.011287652715686382
2,110001,60,66,3,226,0.01327433628318584,0.011725246856058994
2,120001,60,66,3,225,0.013333333333333334,0.012100617367993177
2,130001,60,66,3,224,0.013392857142857142,0.012417922182701789
2,140001,60,66,3,223,0.013452914798206279,0.01268131923139769
2,150001,60,66,3,223,0.013452914798206279,0.012894966445293744
2,160001,61,68,3,233,0.012875536480686695,0.013063021755602805
2,170001,61,68,3,233,0.012875536480686695,0.013189643093537737
2,180001,61,67,3,232,0.01293103448275862,0.013278988390311403
2,190001,60,66,3,236,0.012711864406779662,0.013335215577136659
2,200001,60,66,3,236,0.012711864406779662,0.01336248258522637
2,210001,60,67,3,234,0.01282051282051282,0.01336494734579339
2,220001,60,66,3,231,0.012987012987012988,0.013346767790050583
2,230001,60,67,3,229,0.013100436681222707,0.013312101849210814
2,240001,60,67,3,230,0.013043478260869565,0.013265107454486934
2,250001,59,65,3,236,0.012711864406779662,0.01320994253709027
2,260001,60,66,3,242,0.012396694214876033,0.013319206382279927
2,270001,60,66,3,242,0.012396694214876033,0.01340167692416374
2,280001,60,66,3,242,0.012396694214876033,0.013296935017053046
2,290001,60,66,3,242,0.012396694214876033,0.013249856885045794
2,300001,60,66,3,242,0.012396694214876033,0.013195080448293782
2,310001,60,66,3,242,0.012396694214876033,0.013134739138681864
2,320001,60,66,3,242,0.012396694214876033,0.01283299823044719
2,330001,60,66,3,242,0.012396694214876033,0.012868192792405447
2,340001,62,68,3,224,0.013392857142857142,0.012999502026791858
2,350001,62,68,3,224,0.013392857142857142,0.013186096464199734
2,360001,62,68,3,224,0.013392857142857142,0.013444190071677218
2,370001,61,67,3,228,0.013157894736842105,0.013854326384006202
2,380001,61,68,3,229,0.013100436681222707,0.014218759354123629
2,390001,61,68,3,229,0.013100436681222707,0.014640878448376594
2,400001,61,68,3,229,0.013100436681222707,0.015071071017185739
2,410001,61,68,4,230,0.017391304347826087,0.015513155050089954
2,420001,61,68,4,230,0.017391304347826087,0.01595342488418061
2,430001,61,68,4,230,0.017391304347826087,0.016344567089060603
2,440001,61,67,4,236,0.01694915254237288,0.016790990700643518
2,450001,61,67,4,236,0.01694915254237288,0.017302149706628887
2,460001,60,68,4,215,0.018604651162790697,0.017884868585506093
2,470001,59,67,4,210,0.01904761904761905,0.018543547233864616
2,480001,59,67,4,205,0.01951219512195122,0.01923105838732259
2,490001,61,69,4,216,0.018518518518518517,0.019984743734035623
2,500001,62,69,4,213,0.018779342723004695,0.020712859871277065
2,510001,61,69,4,217,0.018433179723502304,0.021456478836086104
2,520001,61,68,4,213,0.018779342723004695,0.022256959994630097
2,530001,55,59,6,238,0.025210084033613446,0.023122202797809063
2,540001,53,56,6,254,0.023622047244094488,0.024032595612273944
2,550001,53,56,6,254,0.023622047244094488,0.02498037844246755
2,560001,53,56,6,254,0.023622047244094488,0.02595585548739946
2,570001,73,80,14,432,0.032407407407407406,0.026953605849744305
2,580001,74,80,15,475,0.031578947368421054,0.027926362642176496
2,590001,74,80,15,490,0.030612244897959183,0.02891406701213735
2,600001,74,79,15,483,0.031055900621118012,0.02994089529446012
2,610001,74,79,15,483,0.031055900621118012,0.030972426004685062
2,620001,76,82,14,505,0.027722772277227723,0.032000772519919056
2,630001,78,83,18,581,0.03098106712564544,0.0330104323889828
2,640001,78,83,18,582,0.030927835051546393,0.033997862092741395
2,650001,78,83,19,583,0.032590051457975985,0.03495463895536552
2,660001,78,83,20,584,0.03424657534246575,0.03587522718723456
2,670001,78,83,21,585,0.035897435897435895,0.03688469810345397
2,680001,76,81,25,624,0.04006410256410257,0.03786905419597953
2,690001,76,81,25,609,0.041050903119868636,0.03882728471681355
2,700001,75,80,26,629,0.04133545310015898,0.03973470676199248
2,710001,75,80,26,628,0.041401273885350316,0.04059117321879707
2,720001,75,80,26,631,0.04120443740095087,0.04145119449481368
2,730001,75,80,27,634,0.04258675078864353,0.04227074130615992
2,740001,75,80,27,634,0.04258675078864353,0.04304417849894691
2,750001,75,80,29,636,0.04559748427672956,0.043720523521656125
2,760001,75,80,30,637,0.04709576138147567,0.04432807441891271
2,770001,75,80,30,638,0.047021943573667714,0.04485375286272577
2,780001,75,80,30,643,0.04665629860031104,0.045297272624916826
2,790001,75,80,30,643,0.04665629860031104,0.04585138584285136
2,800001,75,80,30,643,0.04665629860031104,0.046288313540120196
2,810001,75,79,30,642,0.04672897196261682,0.04664882447901594
2,820001,75,79,30,642,0.04672897196261682,0.04692291184524329
2,830001,75,79,31,643,0.04821150855365474,0.04738999825678729
2,840001,75,79,31,643,0.04821150855365474,0.04778586759327175
2,850001,75,79,31,643,0.04821150855365474,0.04816241870138176
2,860001,75,79,31,643,0.04821150855365474,0.04847784974519989
2,870001,75,79,31,643,0.04821150855365474,0.0487172400567206
2,880001,75,79,31,643,0.04821150855365474,0.048769450083486356
2,890001,75,79,31,643,0.04821150855365474,0.04882501764369735
2,900001,75,79,31,642,0.048286604361370715,0.04879230597058489
2,910001,75,79,31,642,0.048286604361370715,0.04872347838607482
2,920001,75,79,31,639,0.048513302034428794,0.048593077819976925
2,930001,75,79,31,639,0.048513302034428794,0.0480793271005887
2,940001,75,79,31,642,0.048286604361370715,0.04769268724117835
2,950001,75,79,31,644,0.04813664596273292,0.047313337262121176
2,960001,75,79,31,644,0.04813664596273292,0.04689405064562714
2,970001,75,79,31,648,0.047839506172839504,0.04637977646165982
2,980001,75,79,31,649,0.04776579352850539,0.045545154248477056
2,990001,75,79,31,649,0.04776579352850539,0.044709606240903595
2,1000001,75,79,31,649,0.04776579352850539,0.044014591318158054
